0	134
1	3
2	492
3	5
4	259
5	35
6	224
7	59
8	435
9	451
10	485
11	68
12	181
13	28
14	238
15	105
16	417
18	18
19	428
20	206
21	407
22	162
23	171
24	48
25	184
26	234
27	38
28	49
29	260
31	189
32	474
34	22
35	268
36	116
37	462
38	495
39	30
40	121
41	245
42	44
43	208
44	101
45	77
46	14
47	183
48	342
49	50
50	69
51	427
52	85
53	97
54	228
55	492
56	109
57	133
58	165
59	405
60	501
61	152
62	471
63	129
64	502
65	486
66	242
67	332
68	443
69	84
71	200
72	46
73	21
74	423
75	29
76	449
77	6
78	207
79	124
80	250
81	461
82	205
83	244
84	258
85	147
86	235
87	506
88	188
89	263
90	472
91	236
92	492
93	465
94	59
95	216
96	102
97	47
98	110
99	460
100	27
101	229
102	163
103	177
105	59
107	454
108	99
109	149
110	481
111	18
112	167
113	25
114	157
115	274
116	241
117	452
118	504
119	488
120	467
121	399
122	112
123	179
124	10
125	483
126	160
127	25
128	261
129	174
130	95
131	329
133	222
134	19
135	176
136	57
137	267
138	246
139	167
140	5
141	21
142	10
143	73
144	87
145	233
146	178
147	144
148	497
149	481
150	464
152	77
153	191
154	193
155	271
156	142
157	450
158	119
159	61
160	78
161	256
162	500
163	117
164	64
165	273
166	75
167	171
168	468
169	202
170	81
171	23
172	1
173	396
174	94
175	232
176	493
177	151
178	120
179	272
180	140
181	315
182	169
183	62
184	40
185	136
186	104
187	448
188	212
189	138
190	42
191	438
192	86
193	343
194	43
195	10
196	63
197	476
198	41
199	154
201	476
202	6
203	211
204	264
205	464
206	429
207	489
208	118
209	52
210	1
211	252
212	78
213	247
214	173
216	210
217	389
218	33
219	168
219	322
220	13
221	128
222	195
223	134
224	217
225	239
226	162
227	262
228	488
229	48
230	353
231	187
232	34
233	271
234	182
235	130
236	225
237	198
238	112
239	110
240	265
241	416
242	69
243	473
244	149
245	67
247	481
248	265
249	484
250	275
251	401
252	150
253	226
254	140
255	89
256	282
257	255
258	277
259	18
260	173
261	127
262	37
263	30
264	457
265	251
266	104
267	158
268	47
269	122
270	55
271	243
272	16
273	36
274	65
275	95
276	204
277	176
278	118
279	53
280	230
282	218
284	31
285	137
286	164
287	194
288	249
289	470
290	454
291	82
292	79
293	124
294	155
295	154
296	15
297	220
298	448
299	98
300	269
301	127
302	27
303	441
304	455
305	11
306	70
307	238
309	227
310	114
311	0
313	223
314	145
315	219
316	254
317	21
318	411
319	88
320	104
321	257
322	266
323	51
324	469
325	135
326	106
327	214
328	125
329	142
330	418
331	185
332	442
333	96
334	419
336	32
337	372
338	107
339	39
340	56
341	417
342	203
343	160
344	45
345	459
346	197
347	108
348	25
349	60
350	92
351	197
352	83
353	93
354	180
355	209
356	71
357	91
358	478
359	426
360	440
361	192
362	305
363	108
364	34
365	5
366	113
367	400
368	92
369	2
370	132
371	222
372	8
373	249
374	139
376	197
377	435
378	240
379	494
380	51
381	201
382	276
383	7
384	74
385	55
386	154
387	484
388	91
389	25
390	290
391	143
392	73
393	231
394	200
395	100
396	146
397	215
398	456
399	3
